DTE,MB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RINFLL,PM2.5
2017/1/1223:00,20,103,313,1.2,0,8
2017/1/1300:00,19,108,86,1.4,0,6
2017/1/1301:00,19,287,232,1.2,0,6
2017/1/1302:00,19,238,275,1.3,0,7
2017/1/1306:00,16,286,240,0.8,0,12
2017/1/1316:00,15,110,102,1,0,6
2017/1/1322:00,15,117,121,2.7,0,12
2017/1/1323:00,15,105,102,2.3,0,7
2017/1/1400:00,15,115,106,2.2,0,10
2017/1/1411:00,15,121,118,3,0,23
2017/1/1412:00,15,114,116,2,0,20
2017/1/1413:00,15,113,115,2.5,0,28
2017/1/1414:00,15,115,117,2.4,0,32
2017/1/1415:00,16,114,111,2.4,0,30
2017/1/1416:00,16,110,110,2.9,0,33
2017/1/1417:00,15,110,110,2.9,0,33
2017/1/1418:00,16,116,116,2.1,0,39
2017/1/1419:00,15,119,121,3,0,35
2017/1/1420:00,15,126,134,1.8,0,26
2017/1/1421:00,15,117,111,2.6,0,20
2017/1/1422:00,15,117,123,2.4,0,8
2017/1/1423:00,15,120,118,2.8,0,13
2017/1/1500:00,15,122,119,2.6,0,6
2017/1/1501:00,15,124,126,2.8,0,13
2017/1/1502:00,15,125,133,3,0,6
2017/1/1503:00,15,125,135,3.1,0,17
2017/1/1504:00,15,127,119,2.9,0,12
2017/1/1505:00,14,124,114,3,0,9
2017/1/1506:00,14,125,135,2.5,0,4
2017/1/1507:00,15,113,113,3.1,0,7
2017/1/1508:00,15,119,125,2.9,0,10
2017/1/1509:00,15,122,119,2.9,0,5
2017/1/1510:00,15,121,118,2.4,0,5
2017/1/1511:00,15,123,126,2.7,0,3
2017/1/1512:00,15,115,132,3.2,0,6
2017/1/1513:00,15,118,124,2.2,0,6
2017/1/1514:00,15,120,118,2.1,0,7
2017/1/1515:00,15,120,120,2.3,0,5
2017/1/1516:00,15,126,122,2.9,0,4
2017/1/1517:00,15,125,124,3.4,0,1
2017/1/1518:00,15,122,119,2.4,0,1
2017/1/1519:00,15,129,129,2.5,0,3
2017/1/1520:00,15,135,140,2.9,0,6
2017/1/1521:00,15,134,133,2.5,0,8
2017/1/1522:00,15,124,116,3,0,3
2017/1/1523:00,15,123,121,3,0,1
2017/1/1600:00,15,132,133,2.1,0,4
2017/1/1601:00,15,133,120,2.2,0,7
2017/1/1602:00,15,113,88,1.7,0,9
2017/1/1603:00,15,118,137,1.2,0,4
2017/1/1604:00,15,106,89,2.5,0,5
2017/1/1605:00,15,106,125,1.1,0,5
2017/1/1606:00,15,123,118,2.4,0,7
2017/1/1607:00,15,133,130,2.9,0,4
2017/1/1608:00,15,123,119,3.8,0,4
2017/1/1609:00,16,120,121,2.8,0,1
2017/1/1610:00,16,118,119,2.9,0,8
2017/1/1611:00,17,115,96,2.5,0,12
2017/1/1612:00,16,118,0,0,0,-3
2017/1/1613:00,17,114,105,3,0,1
2017/1/1614:00,16,117,117,3.8,0,4
2017/1/1615:00,16,119,118,3.6,0,8
2017/1/1616:00,16,120,117,2.9,0,14
2017/1/1617:00,16,123,118,3.3,0,16
2017/1/1618:00,16,116,119,2.3,0,14
2017/1/1619:00,16,121,116,3,0,12
2017/1/1620:00,16,120,129,2.5,0,15
2017/1/1621:00,16,124,125,3.4,0,10
2017/1/1622:00,17,132,130,2.7,0,14
2017/1/1623:00,17,126,123,2.7,0,10
2017/1/1700:00,17,120,120,2.1,0,14
2017/1/1701:00,17,127,130,3.2,0,9
2017/1/1702:00,17,124,131,3.3,0,7
2017/1/1703:00,17,123,120,2.8,0,6
2017/1/1704:00,17,120,108,2.5,0,10
2017/1/1705:00,17,117,127,3.1,0,10
2017/1/1706:00,17,128,126,2.1,0,9
2017/1/1707:00,18,122,121,3.5,0,7
2017/1/1708:00,19,120,130,2.6,0,6
2017/1/1709:00,19,118,124,4.2,0,9
2017/1/1710:00,20,114,116,3.7,0,7
2017/1/1711:00,22,109,114,3,0,11
2017/1/1712:00,22,107,101,3.8,0,5
