DTE,MB_TEMP,WD_HR,WIND_DIREC,WIND_SPEED,RINFLL,PM2.5
2018/12/822:00,19.8,75,85,1.9,0,6
2018/12/823:00,19.7,77,79,3.1,0,6
2018/12/900:00,19.6,84,100,2,0,1
2018/12/901:00,19.4,86,95,2,0,1
2018/12/902:00,18.9,87,94,1.1,0,1
2018/12/903:00,18.8,94,95,2,0,6
2018/12/904:00,18.5,92,94,2.2,0,8
2018/12/906:00,18.2,84,78,2.6,0,4
2018/12/907:00,18.5,81,78,3.7,0,6
2018/12/908:00,19,81,83,3.1,0,4
2018/12/909:00,19.7,79,77,3.1,0,3
2018/12/910:00,20,82,80,3.4,0,1
2018/12/911:00,20.6,79,73,3.3,0,1
2018/12/912:00,20.8,78,74,3,0,6
2018/12/913:00,20.9,80,83,3.5,0,7
2018/12/914:00,20.3,81,77,2.4,0,8
2018/12/915:00,20.7,80,83,2.8,0,12
2018/12/916:00,20.1,84,87,2.4,0,10
2018/12/917:00,19.7,86,83,3,0,14
2018/12/918:00,19.7,88,87,3,0,18
2018/12/919:00,19.6,94,93,2.6,0,18
2018/12/920:00,19.7,91,91,2.4,0,8
2018/12/921:00,19.8,105,112,2,0,1
2018/12/922:00,19.7,118,119,0.7,0,2
2018/12/923:00,19.5,166,237,0.8,0,2
2018/12/1000:00,19.4,226,171,0.7,0,4
2018/12/1001:00,19.5,196,207,1.1,0,4
2018/12/1002:00,19.5,212,237,0.8,0,7
2018/12/1003:00,19.5,214,226,0.5,0,2
2018/12/1004:00,19.7,127,25,0.8,0,3
2018/12/1005:00,19.8,168,122,0.5,0,1
2018/12/1006:00,19.9,243,43,0.5,0,1
2018/12/1007:00,20.4,175,174,0.7,0,4
2018/12/1008:00,20.9,206,175,0.9,0,5
2018/12/1009:00,21.8,176,243,1.3,0,5
2018/12/1010:00,22.2,202,145,1.6,0,1
2018/12/1011:00,22.7,169,189,2.2,0,4
2018/12/1012:00,23.4,156,187,1.5,0,10
2018/12/1013:00,24,54,208,1.3,0,12
2018/12/1014:00,24.1,60,40,3.8,0,8
2018/12/1015:00,23.6,73,81,2.2,0,18
2018/12/1016:00,22.8,103,119,1.9,0,16
2018/12/1017:00,22.7,84,80,2,0,14
2018/12/1018:00,22.3,187,191,1.5,0,2
2018/12/1019:00,22.2,116,93,1.1,0,2
2018/12/1020:00,22.6,105,214,1.1,0,1
2018/12/1021:00,22.3,227,252,0.8,0,5
2018/12/1022:00,21.9,222,240,1.1,0,7
2018/12/1023:00,22.8,62,74,1.7,0,7
2018/12/1100:00,23.6,71,87,1.8,0,2
2018/12/1101:00,23.8,67,55,1.3,0,1
2018/12/1102:00,23.3,149,174,2.6,0,2
2018/12/1103:00,21.9,193,54,0.8,0,1
2018/12/1104:00,22.1,72,94,0.9,0,3
2018/12/1105:00,22.1,94,142,0.5,0,1
2018/12/1106:00,21.9,206,202,1,0,5
2018/12/1107:00,22,159,140,1.5,0,9
2018/12/1108:00,22.6,118,112,1.1,0,6
2018/12/1109:00,22.8,116,143,1.3,0,11
2018/12/1110:00,22.5,124,117,2,0,20
2018/12/1111:00,22.1,154,154,2.2,0,19
2018/12/1112:00,21.6,130,115,2,0,17
2018/12/1113:00,21.5,145,169,1.7,0,6
2018/12/1114:00,21.4,179,171,1.1,0,12
2018/12/1115:00,21.3,191,221,0.8,0,7
2018/12/1116:00,21.2,54,37,2.7,0,7
2018/12/1117:00,20.9,22,19,3.1,0,1
2018/12/1118:00,20.5,59,136,1.3,0,4
2018/12/1119:00,19.9,172,87,1.1,0,2
2018/12/1120:00,19.3,76,60,1.4,0,4
2018/12/1121:00,18.9,108,30,1.5,0,1
2018/12/1122:00,18.8,39,35,2,0,1
2018/12/1123:00,18.8,83,48,1.4,0,1
2018/12/1200:00,18.5,87,94,2.1,0,1
2018/12/1201:00,18.2,73,99,1.3,0,1
2018/12/1202:00,18.1,62,56,1.1,0,2
2018/12/1203:00,17.9,65,106,0.9,0,7
2018/12/1204:00,17.5,56,73,1.5,0,10
2018/12/1205:00,17.5,37,36,1.3,0,8
2018/12/1206:00,17.5,60,55,1.7,0,9
2018/12/1207:00,17.6,36,27,2.6,0,4
2018/12/1208:00,17.8,41,27,1.9,0,11
2018/12/1209:00,18,46,42,2.5,0,20
2018/12/1210:00,18.1,34,31,4.1,0,20
2018/12/1211:00,18.1,31,38,3.5,0,15
2018/12/1212:00,17.9,39,32,5.3,0,1
2018/12/1213:00,17.6,34,33,4.8,0,1
2018/12/1214:00,17.3,35,36,5,0,9
2018/12/1215:00,16.9,39,30,5.6,0,20
2018/12/1216:00,16.7,37,38,4,0,26
2018/12/1217:00,16.4,36,30,3.9,0,21
2018/12/1218:00,16.3,35,44,3.6,0,10
2018/12/1219:00,16.4,47,35,3.9,0,7
2018/12/1220:00,16.4,43,29,3.6,0,12
2018/12/1221:00,16.5,39,49,2,0,21
2018/12/1222:00,16.7,75,94,2.1,0,28
2018/12/1223:00,16.6,91,100,2.1,0,24
2018/12/1300:00,16.9,97,102,2.6,0,15
2018/12/1301:00,17.2,93,100,3.5,0,12
2018/12/1302:00,17.3,71,38,2.9,0,8
2018/12/1303:00,17.6,75,79,2.2,0,15
2018/12/1304:00,17.8,75,82,2.3,0,13
2018/12/1305:00,17.9,76,35,1.4,0,10
2018/12/1306:00,18.1,56,85,1.6,0,5
2018/12/1307:00,18,80,86,1.4,0,10
2018/12/1308:00,18.4,85,85,2.5,0,6
2018/12/1309:00,18.4,90,90,2.6,0,6
2018/12/1310:00,19.6,70,57,3.1,0,705
2018/12/1311:00,19.8,77,79,3.1,0,7
2018/12/1312:00,19.8,76,74,3.5,0,8
2018/12/1313:00,20,74,69,3,0,7
2018/12/1314:00,19.8,60,76,1.3,0,3
2018/12/1315:00,19.3,85,72,1.6,0,4
2018/12/1316:00,19.2,85,94,1.3,0,6
2018/12/1317:00,19.2,71,79,1.4,0,9
2018/12/1318:00,19.1,82,76,2,0,4
2018/12/1319:00,18.8,80,77,2.7,0,1
2018/12/1320:00,18.6,81,88,3.5,0,1
2018/12/1321:00,18.6,79,79,3.6,0,1
2018/12/1322:00,18.7,83,78,3.3,0,2
2018/12/1323:00,18.8,80,84,2.4,0,1
2018/12/1400:00,18.8,82,83,3.8,0,2
2018/12/1401:00,18.8,81,79,3.1,0,5
2018/12/1402:00,18.9,80,83,3.1,0,5
2018/12/1403:00,18.7,80,80,2.5,0,4
2018/12/1404:00,18.6,86,80,2.8,0,1
2018/12/1405:00,18.8,78,79,2.2,0,1
2018/12/1406:00,18.7,79,80,2.6,0,1
2018/12/1407:00,18.9,79,81,2.9,0,1
2018/12/1408:00,19.3,77,77,3.3,0,4
2018/12/1409:00,19.6,78,76,4,0,3
2018/12/1410:00,20.1,77,74,3.5,0,1
2018/12/1411:00,20.2,72,76,3.3,0,1
2018/12/1412:00,20.8,75,76,3.9,0,1
2018/12/1413:00,20.5,75,77,3.8,0,2
2018/12/1414:00,20.2,75,69,2.6,0,3
2018/12/1415:00,19.7,78,85,2.5,0,5
2018/12/1416:00,19.3,80,73,2.5,0,10
2018/12/1417:00,19.2,86,100,3.4,0,3
2018/12/1418:00,19,81,86,3.3,0,6
2018/12/1419:00,19.1,78,78,2.8,0,8
2018/12/1420:00,19.2,78,78,2.3,0,22
2018/12/1421:00,19.1,77,72,2.7,0,16
2018/12/1422:00,19.2,75,78,2.5,0,12
2018/12/1423:00,19.2,77,77,3.7,0,6
2018/12/1500:00,19,74,74,3.5,0,6
2018/12/1501:00,18.9,76,75,3.4,0,17
2018/12/1502:00,18.9,75,77,3.9,0,13
2018/12/1503:00,19,77,81,3.7,0,15
2018/12/1504:00,19,85,90,2.9,0,11
2018/12/1505:00,19.1,79,76,4,0,11
2018/12/1506:00,19.1,77,75,3.4,0,10
2018/12/1507:00,19.2,79,75,2.9,0,1
2018/12/1508:00,19.6,75,78,2.4,0,1
2018/12/1509:00,20.6,73,74,4.4,0,7
2018/12/1510:00,21.3,73,72,4.8,0,7
2018/12/1511:00,22.1,71,75,4.2,0,4
2018/12/1512:00,22.3,74,73,4.3,0,1
2018/12/1513:00,22.4,73,74,4.9,0,1
2018/12/1514:00,21.9,73,71,2.6,0,1
2018/12/1515:00,21.6,74,77,3.5,0,1
2018/12/1516:00,21.4,72,71,3.6,0,1
2018/12/1517:00,21.4,75,74,3.2,0,12
2018/12/1518:00,21.5,71,72,3.1,0,9
2018/12/1519:00,21.3,68,68,2.7,0,11
2018/12/1520:00,21.6,68,69,2.4,0,2
2018/12/1521:00,21.9,62,58,2,0,5
2018/12/1522:00,22,63,56,2.4,0,1
2018/12/1523:00,21.9,73,75,2.4,0,3
2018/12/1600:00,22,64,83,1.9,0,2
2018/12/1601:00,22.2,94,136,1.5,0,6
2018/12/1602:00,21.5,160,143,0.7,0,1
2018/12/1603:00,21,197,224,0.6,0,5
2018/12/1604:00,20.8,151,118,0.4,0,1
2018/12/1605:00,20.7,100,83,0.6,0,1
2018/12/1606:00,20.5,79,94,0.5,0,2
2018/12/1607:00,20.7,84,81,0.6,0,2
2018/12/1608:00,21.2,209,222,1.9,0,12
2018/12/1609:00,22,208,215,1.6,0,10
2018/12/1610:00,22.5,230,218,3,0,17
2018/12/1611:00,22.7,237,234,2.8,0,16
2018/12/1612:00,22.8,223,214,5.2,0,15
2018/12/1613:00,21.7,227,236,4,0,16
2018/12/1614:00,21.5,231,231,4,0,10
2018/12/1615:00,20.9,221,223,3.1,0,16
2018/12/1616:00,20.6,239,234,1.3,0,12
2018/12/1617:00,20.3,218,103,1.1,0,11
2018/12/1618:00,20.4,106,111,1.8,0,3
2018/12/1619:00,20.2,118,134,1.1,0,5
2018/12/1620:00,20.1,164,196,2,0,6
2018/12/1621:00,19.6,166,34,2,0,12
2018/12/1622:00,19.5,75,47,1,0,6
2018/12/1623:00,18.9,27,22,2.5,0,9
2018/12/1700:00,18.1,41,207,2.3,0,7
2018/12/1701:00,16.4,184,170,2.3,0,13
2018/12/1703:00,15.6,149,117,1.5,0,2
2018/12/1704:00,15.9,130,117,0.7,0,6
2018/12/1705:00,16.1,194,229,0.7,0,6
2018/12/1707:00,16.3,184,181,1,0,10
2018/12/1708:00,16.9,114,83,0.9,0,20
2018/12/1709:00,17.9,204,187,1.2,0,19
2018/12/1710:00,18.5,79,71,3.5,0,21
2018/12/1711:00,19.1,59,44,3,0,13
2018/12/1712:00,19.3,47,42,2.8,0,18
2018/12/1713:00,18.9,37,42,3,0,21
2018/12/1714:00,18.2,51,61,1.9,0,34
2018/12/1715:00,17.7,35,28,3.6,0,34
2018/12/1716:00,17,42,65,2.3,0,30
2018/12/1717:00,16.5,75,77,2.7,0,25
2018/12/1718:00,16.2,82,87,2.3,0,19
2018/12/1719:00,15.9,86,92,2.2,0,21
2018/12/1720:00,15.8,96,106,1.9,0,21
2018/12/1721:00,15.5,91,89,1.2,0,20
2018/12/1722:00,15.2,88,93,1.7,0,20
2018/12/1723:00,14.8,88,80,1,0,22
2018/12/1800:00,14.3,89,92,1.3,0,19
2018/12/1801:00,14.2,91,83,1.5,0,18
2018/12/1802:00,14.3,94,99,1.6,0,6
2018/12/1803:00,14.5,88,76,1.7,0,6
2018/12/1804:00,14.5,80,80,1.5,0,8
2018/12/1805:00,14.8,83,81,2.6,0,8
2018/12/1806:00,15.1,83,77,2.2,0,17
2018/12/1807:00,16.1,87,90,2.2,0,12
2018/12/1808:00,17.8,84,80,2.7,0,17
2018/12/1809:00,19.5,75,85,4,0,5
2018/12/1810:00,20.4,75,80,4.5,0,11
2018/12/1811:00,21.4,76,75,3.6,0,13
2018/12/1812:00,22.1,74,78,2.9,0,20
2018/12/1813:00,22.5,60,57,3.3,0,21
2018/12/1814:00,22,49,60,3.6,0,13
2018/12/1815:00,21,63,54,2.9,0,8
2018/12/1816:00,20,59,63,3.3,0,10
2018/12/1817:00,18.9,58,51,1.9,0,10
2018/12/1818:00,18.6,66,67,2.9,0,25
2018/12/1819:00,18.6,64,65,2.5,0,12
2018/12/1820:00,18.4,64,66,2.2,0,17
2018/12/1821:00,18.3,62,66,1.7,0,6
2018/12/1822:00,18.2,67,65,2.1,0,8
2018/12/1823:00,18.2,56,62,1.6,0,9
2018/12/1900:00,18.3,60,69,1.9,0,8
2018/12/1901:00,18.7,65,65,2.7,0,10
2018/12/1902:00,18.8,62,66,2.1,0,16
2018/12/1903:00,18.9,63,60,2.2,0,13
2018/12/1904:00,18.7,64,52,2.1,0,10
2018/12/1905:00,18.6,68,75,1.6,0,1
2018/12/1906:00,18.5,59,66,1.8,0,3
2018/12/1907:00,19.3,63,65,1.7,0,7
2018/12/1908:00,21.2,63,68,2.4,0,13
2018/12/1909:00,22.5,71,67,2.3,0,8
2018/12/1910:00,23.5,66,73,2.8,0,13
2018/12/1911:00,24.8,69,66,2.4,0,21
2018/12/1912:00,25.4,89,96,2,0,21
2018/12/1913:00,25.9,87,142,1.1,0,15
2018/12/1914:00,25.9,103,90,1.9,0,11
2018/12/1915:00,25,186,234,2.2,0,8
2018/12/1916:00,23.4,157,91,1.9,0,15
2018/12/1917:00,22.2,91,76,2.2,0,10
2018/12/1918:00,21.3,73,67,1.4,0,18
2018/12/1919:00,20.5,72,67,1.5,0,11
2018/12/1920:00,20.4,48,65,1.1,0,15
2018/12/1921:00,20.1,70,73,1.3,0,10
2018/12/1922:00,19.4,100,93,0.7,0,18
2018/12/1923:00,18.4,83,76,0.8,0,17
2018/12/2000:00,17.7,82,86,0.5,0,19
2018/12/2001:00,17.2,86,86,1,0,11
2018/12/2002:00,17,84,96,0.7,0,9
2018/12/2003:00,16.5,86,88,1.2,0,11
2018/12/2004:00,16.2,82,91,1,0,9
2018/12/2005:00,15.9,82,58,0.8,0,2
2018/12/2006:00,15.5,124,103,0.7,0,6
2018/12/2007:00,16.9,89,100,0.7,0,15
2018/12/2008:00,18.4,148,126,0.5,0,28
2018/12/2009:00,20.9,137,95,1.1,0,21
2018/12/2010:00,24.3,120,156,1.1,0,19
2018/12/2011:00,26.3,171,131,0.5,0,9
2018/12/2012:00,27.6,189,175,1.2,0,10
2018/12/2013:00,27.6,205,200,3,0,12
2018/12/2014:00,26.2,203,207,3.5,0,22
2018/12/2015:00,24.6,217,220,4.3,0,17
2018/12/2016:00,23.2,215,63,0.7,0,27
2018/12/2017:00,22.9,82,77,1.8,0,29
2018/12/2018:00,21.7,83,95,1.7,0,32
2018/12/2019:00,21.2,85,91,1.7,0,20
2018/12/2020:00,21,90,96,0.7,0,10
2018/12/2021:00,20.7,195,80,0.4,0,17
2018/12/2022:00,20.8,148,96,1.1,0,27
2018/12/2023:00,20.6,82,75,1.3,0,22
2018/12/2100:00,20.6,75,105,0.5,0,21
2018/12/2101:00,20.3,65,35,1,0,17
2018/12/2102:00,19.6,98,74,0.8,0,19
2018/12/2103:00,19,87,80,0.8,0,27
2018/12/2104:00,18.6,87,86,1.5,0,24
2018/12/2105:00,18.8,81,225,0.9,0,26
2018/12/2106:00,18.5,140,147,0.5,0,23
2018/12/2107:00,19.1,98,186,0.4,0,15
2018/12/2108:00,20.5,178,96,0.7,0,16
2018/12/2109:00,22.9,165,242,1.7,0,10
2018/12/2110:00,26,43,46,3,0,30
2018/12/2111:00,27.2,39,38,4.7,0,31
2018/12/2112:00,27.2,38,39,3.4,0,30
2018/12/2113:00,27.1,59,53,2.7,0,21
2018/12/2114:00,26.6,45,42,3.2,0,17
2018/12/2115:00,26.1,47,73,2.8,0,17
2018/12/2116:00,25.2,60,59,2.4,0,9
2018/12/2117:00,24.4,59,70,2.2,0,15
2018/12/2118:00,24.3,66,63,2.3,0,13
2018/12/2119:00,24.1,71,73,3,0,17
2018/12/2120:00,23.9,74,75,3.2,0,19
2018/12/2121:00,23.9,71,64,2.2,0,14
2018/12/2122:00,23.9,73,75,2,0,10
2018/12/2123:00,23.8,61,72,1.8,0,11
2018/12/2200:00,23.5,68,71,2.1,0,11
2018/12/2201:00,23.3,67,75,1.9,0,8
2018/12/2202:00,22.9,97,138,1.5,0,1
2018/12/2203:00,21.7,129,120,0.6,0,15
2018/12/2204:00,21,158,243,0.9,0,13
2018/12/2205:00,20.4,105,90,0.9,0,8
2018/12/2206:00,20.1,98,171,0.6,0,3
2018/12/2207:00,20.3,210,82,0.4,0,12
2018/12/2208:00,22,160,194,0.8,0,25
2018/12/2209:00,23.7,204,241,1.2,0,31
2018/12/2210:00,25.1,205,211,3.1,0,35
2018/12/2211:00,25.7,214,204,2.5,0,28
2018/12/2212:00,26.3,215,214,2.4,0,37
2018/12/2213:00,26.3,188,192,3,0,27
2018/12/2214:00,26,200,207,2.6,0,32
2018/12/2215:00,25.6,210,217,2.8,0,25
2018/12/2216:00,24.6,221,221,1,0,42
2018/12/2217:00,23.7,209,202,0.7,0,54
2018/12/2218:00,23.1,204,233,0.8,0,51
2018/12/2219:00,22.7,245,260,1.4,0,48
2018/12/2220:00,22.7,228,218,0.7,0,37
2018/12/2221:00,22.5,176,172,0.4,0,46
2018/12/2222:00,22.5,129,89,1.1,0,36
2018/12/2223:00,22.4,209,248,1.1,0,39
2018/12/2300:00,22.5,159,150,0.6,0,25
2018/12/2301:00,22.2,211,278,0.5,0,32
2018/12/2302:00,22.1,183,230,0.5,0,32
2018/12/2303:00,21.7,181,190,1.2,0,28
2018/12/2304:00,21.4,196,160,0.6,0,28
2018/12/2305:00,21.8,140,152,1,0,17
2018/12/2306:00,21.8,220,178,0.7,0,30
2018/12/2307:00,22.1,197,162,1.2,0,30
2018/12/2309:00,23.3,103,34,4.8,0,34
2018/12/2310:00,23.2,59,78,2.7,0,28
2018/12/2311:00,23.2,39,42,4.3,0,17
2018/12/2313:00,21.8,43,27,2.5,0,9
2018/12/2314:00,21.4,44,42,4.1,0,1
2018/12/2315:00,21,48,73,1.8,0,7
2018/12/2406:00,17.3,55,53,2.9,0,1
2018/12/2409:00,17.9,86,92,2.5,0,7
2018/12/2410:00,18.7,84,96,2.5,0,717
2018/12/2411:00,19.1,87,88,3.3,0,1
2018/12/2412:00,19.4,85,80,3.1,0,2
2018/12/2413:00,19.5,83,82,2.7,0,1
2018/12/2414:00,19.7,82,84,2.4,0,1
2018/12/2415:00,19.4,85,85,3.1,0,1
2018/12/2416:00,19.3,82,83,2.6,0,1
2018/12/2417:00,19.1,81,82,4,0,5
2018/12/2418:00,19.2,87,81,4.1,0,5
2018/12/2419:00,19.5,83,84,4,0,14
2018/12/2420:00,19.6,85,83,3.3,0,8
2018/12/2421:00,20,83,82,3.5,0,17
2018/12/2422:00,20,83,88,3.8,0,5
2018/12/2423:00,20.1,83,86,2.8,0,2
2018/12/2500:00,20.2,80,81,3.4,0,1
2018/12/2501:00,20.4,81,82,3.4,0,1
2018/12/2502:00,20.6,84,87,3.2,0,4
2018/12/2503:00,20.8,83,90,3.4,0,11
2018/12/2504:00,20.9,84,85,3.6,0,7
2018/12/2505:00,20.8,86,85,3.5,0,4
2018/12/2506:00,20.9,91,97,2.8,0,5
2018/12/2507:00,20.9,100,102,3,0,6
2018/12/2508:00,21.3,101,94,3.5,0,2
2018/12/2509:00,22.4,90,107,2.7,0,1
2018/12/2510:00,23,92,93,2.9,0,8
2018/12/2511:00,23.8,80,67,2.4,0,8
2018/12/2512:00,24.7,72,62,2.4,0,13
2018/12/2513:00,24.8,56,47,2.4,0,3
2018/12/2514:00,25.7,64,77,2.4,0,15
2018/12/2515:00,25.7,75,82,1.6,0,10
2018/12/2516:00,25.3,83,83,2.3,0,12
2018/12/2517:00,24.6,91,222,1,0,1
2018/12/2518:00,23,221,201,0.9,0,3
2018/12/2519:00,22.3,211,228,1.1,0,8
2018/12/2520:00,22,219,227,0.9,0,8
2018/12/2521:00,21.8,183,153,0.5,0,9
2018/12/2522:00,21.5,211,231,1.2,0,9
2018/12/2523:00,21.4,214,208,1.3,0,19
2018/12/2600:00,21.2,226,225,1.1,0,14
2018/12/2601:00,20.9,239,245,1.7,0,8
2018/12/2602:00,20.7,245,243,0.8,0,8
2018/12/2603:00,20.6,212,225,0.5,0,10
2018/12/2604:00,20.7,97,79,0.7,0,12
2018/12/2606:00,20.4,167,208,0.8,0,11
2018/12/2608:00,20.7,181,193,1.5,0,5
2018/12/2609:00,20.7,225,226,0.9,0,3
2018/12/2610:00,21.1,195,174,0.8,0,12
2018/12/2611:00,21.7,151,85,0.8,0,11
2018/12/2612:00,22.1,99,114,1.5,0,12
2018/12/2613:00,22,162,199,1.6,0,7
2018/12/2614:00,21.9,216,222,1.5,0,17
2018/12/2615:00,21.7,221,231,1.6,0,12
2018/12/2616:00,21.4,188,178,1.3,0,12
2018/12/2617:00,21.3,203,222,0.7,0,6
2018/12/2618:00,21,212,238,1.2,0,10
2018/12/2619:00,20.7,207,126,1.3,0,14
2018/12/2620:00,20.6,199,202,1.3,0,10
2018/12/2621:00,20.6,98,46,1.7,0,3
2018/12/2622:00,21.1,58,121,1.6,0,1
2018/12/2623:00,20.7,172,179,0.9,0,1
2018/12/2700:00,20.2,199,211,1.7,0,1
2018/12/2701:00,19.7,187,173,1.3,0,1
2018/12/2702:00,19.8,170,170,1.7,0,4
2018/12/2703:00,19.6,189,203,1.5,0,11
2018/12/2704:00,19.6,169,144,2.4,0,6
2018/12/2705:00,19,152,149,2.2,0,7
2018/12/2709:00,18.4,51,25,3.1,0,16
2018/12/2710:00,19,133,126,1.7,0,16
2018/12/2711:00,19.2,139,142,2,0,7
2018/12/2712:00,19.6,55,64,1.5,0,1
2018/12/2713:00,19.2,38,21,3.7,0,4
2018/12/2714:00,18.9,35,35,3.5,0,3
2018/12/2715:00,18.7,46,62,2.5,0,8
2018/12/2716:00,18.3,54,36,2,0,5
2018/12/2717:00,18.1,48,36,3.1,0,9
2018/12/2718:00,17.9,52,29,5.5,0,5
2018/12/2719:00,17.8,47,55,1.7,0,10
2018/12/2720:00,17.7,46,38,2.8,0,6
2018/12/2721:00,17.3,46,56,2.3,0,3
2018/12/2722:00,17,38,64,3.4,0,3
2018/12/2723:00,16.8,42,41,3.2,0,1
2018/12/2800:00,16.7,36,32,3.1,0,1
2018/12/2801:00,16.6,69,67,1.7,0,1
2018/12/2802:00,16.5,58,54,2.4,0,4
2018/12/2803:00,16.4,62,64,2,0,4
2018/12/2804:00,16.3,87,71,2.1,0,7
2018/12/2805:00,16.3,57,69,2,0,3
2018/12/2806:00,16.2,77,94,2.1,0,8
2018/12/2807:00,16.5,76,95,3.1,0,1
2018/12/2808:00,16.6,71,82,3.3,0,1
2018/12/2809:00,16.8,79,78,3,0,2
2018/12/2810:00,17,62,55,2.2,0,4
2018/12/2811:00,17.6,44,35,4.1,0,2
2018/12/2812:00,17.4,46,39,2.6,0,1
2018/12/2813:00,17.2,55,53,2.9,0,1
2018/12/2814:00,16.8,48,31,5,0,3
2018/12/2815:00,16.5,68,72,3.4,0,7
2018/12/2816:00,16.3,47,51,2.8,0,7
2018/12/2817:00,16.1,41,38,4.3,0,4
2018/12/2818:00,15.9,50,62,3.1,0,1
2018/12/2819:00,15.7,42,52,2.3,0,1
2018/12/2820:00,15.3,35,39,3.9,0,1
2018/12/2821:00,15.2,43,35,4.4,0,1
2018/12/2822:00,14.9,36,41,4.6,0,1
2018/12/2823:00,14.7,35,49,2.1,0,7
2018/12/2900:00,14.6,38,29,4.3,0,6
2018/12/2901:00,14.4,35,34,4.7,0,11
2018/12/2902:00,14.3,40,46,3.2,0,8
2018/12/2903:00,14.4,39,32,5.5,0,10
2018/12/2904:00,14.2,39,37,4.4,0,9
2018/12/2905:00,14.1,38,42,2.4,0,3
2018/12/2906:00,13.9,41,29,3.8,0,5
2018/12/2907:00,13.8,35,35,4.8,0,9
2018/12/2908:00,13.9,37,35,5.2,0,9
2018/12/2909:00,14.3,36,35,4.8,0,10
2018/12/2910:00,14.8,37,33,6,0,2
2018/12/2911:00,15.3,40,45,4.2,0,11
2018/12/2912:00,15.6,56,46,2.3,0,5
2018/12/2913:00,15.6,43,36,4.7,0,12
2018/12/2914:00,16.2,50,48,3.7,0,4
2018/12/2915:00,15.9,46,47,2.9,0,5
2018/12/2916:00,15.2,36,41,2.6,0,5
2018/12/2917:00,15,55,77,2.8,0,8
2018/12/2920:00,14.6,57,43,3,0,5
2018/12/2921:00,15.2,56,65,2.6,0,9
2018/12/2922:00,15.4,77,77,2.6,0,6
2018/12/2923:00,15.5,54,34,3.7,0,1
2018/12/3000:00,15.6,41,57,1.3,0,1
2018/12/3001:00,15.7,84,91,2.7,0,1
2018/12/3002:00,15.1,84,81,2.5,0,2
2018/12/3003:00,15.1,86,89,2.5,0,6
2018/12/3004:00,15.3,88,91,2.2,0,1
2018/12/3005:00,15.2,76,73,3,0,3
2018/12/3006:00,15.5,79,73,2.1,0,1
2018/12/3007:00,16,67,77,3.4,0,3
2018/12/3008:00,16.1,69,77,3.5,0,3
2018/12/3009:00,16.7,70,72,2.5,0,5
2018/12/3010:00,16.9,59,53,2.7,0,1
2018/12/3011:00,16.9,63,74,4.1,0,5
2018/12/3013:00,17.2,67,74,4.2,0,12
2018/12/3014:00,17.4,72,76,4.1,0,4
2018/12/3015:00,17.3,75,75,3.8,0,1
2018/12/3016:00,17.2,80,79,3,0,1
2018/12/3017:00,17.1,81,80,3.4,0,4
2018/12/3018:00,17,80,81,2.7,0,8
2018/12/3019:00,16.9,80,78,2.3,0,8
2018/12/3020:00,17.1,78,77,3.4,0,3
2018/12/3021:00,17.2,80,79,2.6,0,1
2018/12/3022:00,17.1,82,87,2.9,0,1
2018/12/3023:00,17.2,84,81,2.4,0,1
2018/12/3100:00,17.4,84,78,1.6,0,1
2018/12/3101:00,17.5,101,139,0.9,0,1
2018/12/3102:00,17.2,122,35,2.8,0,1
2018/12/3103:00,17.2,98,31,2.6,0,4
2018/12/3104:00,17.6,75,178,1.2,0,1
2018/12/3105:00,16.7,182,137,1.3,0,5
2018/12/3106:00,16.2,149,156,1.5,0,1
2018/12/3107:00,16.8,121,275,1.8,0,1
2018/12/3108:00,17,243,224,2.3,0,1
2018/12/3109:00,17,200,212,1.7,0,1
2018/12/3110:00,17.4,196,202,2.1,0,1
2018/12/3111:00,18.2,194,81,1.3,0,9
2018/12/3112:00,19.3,77,85,1.8,0,7
2018/12/3113:00,19.4,60,55,2.8,0,6
2018/12/3114:00,19.3,74,73,2.2,0,1
2018/12/3115:00,18.8,82,73,2.7,0,1
2018/12/3116:00,18.4,71,85,2.5,0,1
2018/12/3117:00,17.8,85,93,2.5,0,2
2018/12/3118:00,17.7,82,78,2.2,0,8
2018/12/3119:00,17.6,78,76,3.2,0,6
2018/12/3120:00,17.5,83,81,2.7,0,1
2018/12/3121:00,17.4,84,88,3,0,1
2018/12/3122:00,17.3,82,83,2.8,0,3
2018/12/3123:00,17.4,83,82,2.8,0,3
2019/1/100:00,17.4,86,92,3,0,7
2019/1/101:00,17.5,84,84,2.7,0,1
2019/1/102:00,17.5,80,79,2.7,0,1
2019/1/103:00,17.5,80,80,3.1,0,1
2019/1/104:00,17.4,81,78,3.2,0,4
2019/1/105:00,17.5,81,83,3.4,0,4
2019/1/106:00,17.4,82,74,2.9,0,6
2019/1/107:00,17.8,85,86,3.4,0,1
2019/1/108:00,18.1,81,78,3,0,1
2019/1/109:00,18.7,78,85,3.2,0,1
2019/1/110:00,19.1,76,76,3.7,0,1
2019/1/111:00,19.2,76,80,3.6,0,1
2019/1/112:00,19.4,72,70,4,0,1
2019/1/113:00,19.9,79,77,4,0,1
2019/1/114:00,18.8,77,79,3.7,0,1
2019/1/115:00,18.6,80,75,3.1,0,1
2019/1/116:00,18.1,80,80,3.5,0,1
2019/1/119:00,17.4,85,81,3.3,0,9
2019/1/120:00,17.4,83,78,3.6,0,4
2019/1/121:00,17.4,84,82,3.2,0,1
2019/1/122:00,17.4,81,84,4.2,0,1
